number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_learning_rate,params_max_depth,params_max_iter,params_n_estimators,params_n_states,params_reg_alpha,params_reg_lambda,params_subsample,params_tol,state
11,0.0,2025-09-25 12:43:14.699098,2025-09-25 12:43:14.739166,0 days 00:00:00.040068,0.9976161494520414,0.011211905675606836,3,98,76,3,3.146450371186846,7.269969405792567,0.6027514361354958,0.00032732828504275957,COMPLETE
12,0.0,2025-09-25 12:43:14.755970,2025-09-25 12:43:14.798010,0 days 00:00:00.042040,0.8969390138948092,0.01653566893364782,5,89,173,2,3.5689357011275424,6.778659595806545,0.7841438174174152,0.009536898767082866,COMPLETE
13,0.0,2025-09-25 12:43:14.815580,2025-09-25 12:43:14.855641,0 days 00:00:00.040061,0.7326872568254374,0.04039917885693957,5,61,356,4,7.583635489314875,8.942284082021313,0.732365136722726,0.0009599728262507017,COMPLETE
14,0.0,2025-09-25 12:43:14.871144,2025-09-25 12:43:14.910145,0 days 00:00:00.039001,0.9178581456448356,0.015023347845436873,4,88,126,3,4.320002873168433,2.9771728853306496,0.605253815534431,6.916026343688046e-05,COMPLETE
15,0.0,2025-09-25 12:43:14.925724,2025-09-25 12:43:14.964388,0 days 00:00:00.038664,0.8693087163058641,0.01739506464212854,5,99,274,4,2.550570692138961,5.81179682150781,0.7938863093296037,0.002929027276013812,COMPLETE
16,0.0,2025-09-25 12:43:14.979789,2025-09-25 12:43:15.020397,0 days 00:00:00.040608,0.7558658096828579,0.03444164618988499,7,51,242,2,7.163755998306335,3.2713633790533745,0.6807171468064965,0.00046359907122990227,COMPLETE
17,0.0,2025-09-25 12:43:15.036023,2025-09-25 12:43:15.078795,0 days 00:00:00.042772,0.9582419694818943,0.06505157718985512,4,74,165,3,1.7747344841110273,5.952333343475221,0.7503612045585996,6.388414201382266e-05,COMPLETE
18,0.0,2025-09-25 12:43:15.094976,2025-09-25 12:43:15.137302,0 days 00:00:00.042326,0.6966333704707155,0.021009001126407124,6,84,378,2,4.922156355267145,8.613264010562338,0.8322343799163403,0.0001595746434017078,COMPLETE
19,0.0,2025-09-25 12:43:15.153431,2025-09-25 12:43:15.194758,0 days 00:00:00.041327,0.8345856301792302,0.013842510951473014,3,21,304,4,5.963089090685653,3.8771876741389857,0.6971328325248957,0.0008328104936744722,COMPLETE
20,0.0,2025-09-25 12:43:15.210243,2025-09-25 12:43:15.250984,0 days 00:00:00.040741,0.9514508026332132,0.03387776088930084,4,67,120,3,8.624808991805706,2.285561210801473,0.6422684164238962,0.0031376649283944274,COMPLETE
21,0.0,2025-09-25 12:43:15.269381,2025-09-25 12:43:15.310061,0 days 00:00:00.040680,0.8279621902518962,0.04869545415061698,9,51,201,5,6.19330480889154,0.2380899437677867,0.6604880197116956,1.078863061399055e-05,COMPLETE
22,0.0,2025-09-25 12:43:15.325507,2025-09-25 12:43:15.366961,0 days 00:00:00.041454,0.7740944781959846,0.04799698839653821,12,27,256,4,4.984172041931467,0.47240725190215394,0.6969008687169277,1.6769327639919503e-05,COMPLETE
23,0.0,2025-09-25 12:43:15.383130,2025-09-25 12:43:15.424521,0 days 00:00:00.041391,0.8759430451660999,0.09101168775234647,10,92,225,5,7.973378203494244,2.2196938098093395,0.7485202093651706,4.873498422065464e-06,COMPLETE
24,0.0,2025-09-25 12:43:15.440735,2025-09-25 12:43:15.481297,0 days 00:00:00.040562,0.7939275602754168,0.18637369945981044,8,46,146,4,6.54364235383882,5.619424750570794,0.6824859323663828,3.204953261942517e-05,COMPLETE
25,0.0,2025-09-25 12:43:15.496874,2025-09-25 12:43:15.538937,0 days 00:00:00.042063,0.6980806602306825,0.019663934862575203,6,82,301,6,4.297558132934262,1.310697539531718,0.6364497222741674,5.261051207364316e-06,COMPLETE
26,0.0,2025-09-25 12:43:15.555467,2025-09-25 12:43:15.597042,0 days 00:00:00.041575,0.8091187576050651,0.01276143990501849,10,59,53,2,5.931372159164537,4.062453083669824,0.7666663517958366,0.0004609860616299869,COMPLETE
27,0.0,2025-09-25 12:43:15.613147,2025-09-25 12:43:15.653038,0 days 00:00:00.039891,0.7191228355930689,0.05981213998160413,4,20,186,5,4.416836166131589,8.030484961579015,0.8436194387993202,0.0001286304492840837,COMPLETE
28,0.0,2025-09-25 12:43:15.668349,2025-09-25 12:43:15.708575,0 days 00:00:00.040226,0.8377499814912582,0.033533354667765546,11,100,102,3,5.423712182276632,6.38567972529988,0.6197094512278798,0.0013654437222717685,COMPLETE
29,0.0,2025-09-25 12:43:15.723863,2025-09-25 12:43:15.767559,0 days 00:00:00.043696,0.6730854621408249,0.298253743490514,11,28,333,2,6.622672567826405,5.146303963563783,0.7184433788997833,6.749963006933491e-06,COMPLETE
30,0.0,2025-09-25 12:43:15.784224,2025-09-25 12:43:15.828526,0 days 00:00:00.044302,0.9016435339315336,0.023316157894036467,9,35,498,5,2.370088886214864,2.7308557504090705,0.668083738652851,4.230418798784028e-05,COMPLETE
31,0.0,2025-09-25 12:43:15.847705,2025-09-25 12:43:15.892255,0 days 00:00:00.044550,0.6087566059280534,0.29075981171751786,11,31,430,5,6.964867909872028,4.44417355912436,0.7126205390205238,2.443635541178351e-06,COMPLETE
32,0.0,2025-09-25 12:43:15.908167,2025-09-25 12:43:15.951827,0 days 00:00:00.043660,0.6455813833890727,0.17962704328643356,12,46,396,6,5.534966207562758,4.0780300765547945,0.7357900914092839,1.8932179169297797e-06,COMPLETE
33,0.0,2025-09-25 12:43:15.968025,2025-09-25 12:43:16.009967,0 days 00:00:00.041942,0.8033070943660818,0.07701946104313157,10,40,488,4,7.7478970381413115,3.532382175685921,0.7032576656722314,2.913063653683003e-06,COMPLETE
34,0.0,2025-09-25 12:43:16.028021,2025-09-25 12:43:16.080162,0 days 00:00:00.052141,0.7442412837129125,0.026474525207510362,11,57,461,5,5.3181472261280796,5.0944867290625275,0.6507090183735171,0.003411136048176385,COMPLETE
35,0.0,2025-09-25 12:43:16.096905,2025-09-25 12:43:16.141442,0 days 00:00:00.044537,0.9487986509206706,0.1344051662297524,8,34,224,6,4.721680908173619,1.7909174319722034,0.769121587482435,0.006783214270623841,COMPLETE
36,0.0,2025-09-25 12:43:16.160291,2025-09-25 12:43:16.203069,0 days 00:00:00.042778,0.653369168324546,0.233778264980152,9,25,137,5,8.491251209281684,0.8760628599246107,0.6256698420338351,1.123236893831898e-06,COMPLETE
37,0.0,2025-09-25 12:43:16.220754,2025-09-25 12:43:16.261913,0 days 00:00:00.041159,0.7819005933421624,0.10057533769125969,7,39,435,3,3.705262584084545,9.570895075084275,0.6759784549574134,9.644108278520494e-06,COMPLETE
